,name,symbol
0,Bitcoin,BTC
1,Ethereum,ETH
2,Tether,USDT
3,Polkadot,DOT
4,XRP,XRP
5,Cardano,ADA
6,Chainlink,LINK
7,Litecoin,LTC
8,Bitcoin Cash,BCH
9,Binance Coin,BNB
10,Stellar,XLM
11,USD Coin,USDC
12,Uniswap,UNI
13,Wrapped Bitcoin,WBTC
14,Aave,AAVE
15,Bitcoin SV,BSV
16,Dogecoin,DOGE
17,EOS,EOS
18,Monero,XMR
19,Tezos,XTZ
20,TRON,TRX
21,NEM,XEM
22,THETA,THETA
23,Synthetix,SNX
24,VeChain,VET
25,Cosmos,ATOM
26,Dai,DAI
27,Crypto.com Coin,CRO
28,Neo,NEO
29,Maker,MKR
30,Binance USD,BUSD
31,UNUS SED LEO,LEO
32,Compound,COMP
33,Celsius,CEL
34,Huobi Token,HT
35,IOTA,MIOTA
36,SushiSwap,SUSHI
37,Dash,DASH
38,Filecoin,FIL
39,Solana,SOL
40,Revain,REV
41,Elrond,EGLD
42,FTX Token,FTT
43,Zcash,ZEC
44,Avalanche,AVAX
45,Kusama,KSM
46,yearn.finance,YFI
47,Ethereum Classic,ETC
48,Terra,LUNA
49,Decred,DCR
50,Zilliqa,ZIL
51,Algorand,ALGO
52,The Graph,GRT
53,Waves,WAVES
54,Hedera Hashgraph,HBAR
55,NEAR Protocol,NEAR
56,UMA,UMA
57,HedgeTrade,HEDG
58,Celo,CELO
59,Loopring,LRC
60,renBTC,RENBTC
61,SwissBorg,CHSB
62,Ren,REN
63,THORChain,RUNE
64,Nano,NANO
65,0x,ZRX
66,ICON,ICX
67,OMG Network,OMG
68,Basic Attention Token,BAT
69,HUSD,HUSD
70,Ontology,ONT
71,Curve DAO Token,CRV
72,Nexo,NEXO
73,TrueUSD,TUSD
74,Horizen,ZEN
75,DigiByte,DGB
76,BitTorrent,BTT
77,1inch,1INCH
78,OKB,OKB
79,Stacks,STX
80,Qtum,QTUM
81,Reserve Rights,RSR
82,Enjin Coin,ENJ
83,Quant,QNT
84,Alpha Finance Lab,ALPHA
85,IOST,IOST
86,NXM,NXM
87,Fantom,FTM
88,Siacoin,SC
89,Kyber Network,KNC
90,TerraUSD,UST
91,Decentraland,MANA
92,Paxos Standard,PAX
93,Energy Web Token,EWT
94,Ocean Protocol,OCEAN
95,Voyager Token,VGX
96,Bitcoin BEP2,BTCB
97,Bancor,BNT
98,Verge,XVG
99,Ampleforth,AMPL
100,Matic Network,MATIC
101,Arweave,AR
102,Augur,REP
103,Band Protocol,BAND
104,Bitcoin Gold,BTG
105,Gnosis,GNO
106,Flow (Dapper labs),FLOW
107,ABBC Coin,ABBC
108,Helium,HNT
109,Lisk,LSK
110,Status,SNT
111,Balancer,BAL
112,Theta Fuel,TFUEL
113,Aragon,ANT
114,MaidSafeCoin,MAID
115,PancakeSwap,CAKE
116,Ravencoin,RVN
117,Holo,HOT
118,ZB Token,ZB
119,Nervos Network,CKB
120,Injective Protocol,INJ
121,Bitcoin Diamond,BCD
122,Golem,GLM
123,Numeraire,NMR
124,RSK Infrastructure Framework,RIF
125,FunFair,FUN
126,Utrust,UTK
127,PAX Gold,PAXG
128,IoTeX,IOTX
129,Chiliz,CHZ
130,Kava.io,KAVA
131,Swipe,SXP
132,Pundi X,NPXS
133,MonaCoin,MONA
134,Orchid,OXT
135,Civic,CVC
136,TomoChain,TOMO
137,Unibright,UBT
138,iExec RLC,RLC
139,Serum,SRM
140,CyberVein,CVT
141,KuCoin Token,KCS
142,Storj,STORJ
143,Oasis Network,ROSE
144,Bytom,BTM
145,Velas,VLX
146,Ankr,ANKR
147,Secret,SCRT
148,Travala.com,AVA
149,WaykiChain,WICC
150,Syntropy,NOIA
151,Ardor,ARDR
152,aelf,ELF
153,Komodo,KMD
154,BitShares,BTS
155,Harmony,ONE
156,Steem,STEEM
157,JUST,JST
158,Kleros,PNK
159,Venus,XVS
160,Fetch.ai,FET
161,Mainframe,MFT
162,district0x,DNT
163,DxChain Token,DX
164,SingularityNET,AGI
165,Keep3rV1,KP3R
166,DFI.Money,YFII
167,Wanchain,WAN
168,IRISnet,IRIS
169,WAX,WAXP
170,Kin,KIN
171,Energi,NRG
172,Loom Network,LOOM
173,OriginTrail,TRAC
174,Morpheus.Network,MRPH
175,Populous,PPT
176,Syscoin,SYS
177,Tellor,TRB
178,LTO Network,LTO
179,xDai,STAKE
180,LBRY Credits,LBC
181,Stratis,STRAX
182,Hive,HIVE
183,Enzyme,MLN
184,Electroneum,ETN
185,DIA,DIA
186,Polymath,POLY
187,0Chain,ZCN
188,Ark,ARK
189,Akropolis,AKRO
190,Aidos Kuneen,ADK
191,Divi,DIVI
192,Firo,FIRO
193,bZx Protocol,BZRX
194,AdEx Network,ADX
195,STASIS EURO,EURS
196,Ultra,UOS
197,Power Ledger,POWR
198,Uquid Coin,UQC
199,SUN,SUN
200,Counos X,CCXX
201,HEX,HEX
202,INO COIN,INO
203,DeFiChain,DFI
204,Basid Coin,BASID
205,ThoreCoin,THR
206,Insight Chain,INB
207,IZE,IZE
208,Creditcoin,CTC
209,GNY,GNY
210,botXcoin,BOTX
211,DerivaDAO,DDX
212,Zelwin,ZLW
213,Bitcoin Cash ABC,BCHA
214,Cipher Core Token,CIPHC
215,Largo Coin,LRG
216,Huobi BTC,HBTC
217,Bitpanda Ecosystem Token,BEST
218,Bridge Oracle,BRG
219,Sologenic,SOLO
220,Doctors Coin,DRS
221,sUSD,SUSD
222,WhiteCoin,XWC
223,PARSIQ,PRQ
224,YUSRA,YUSRA
225,Metacoin,MTC
226,Keep Network,KEEP
227,Elitium,EUM
228,Bitball Treasure,BTRS
229,NewYork Exchange,NYE
230,Frax,FRAX
231,Strong,STRONG
232,Vitae,VITAE
233,Mobilian Coin,MBN
234,Perpetual Protocol,PERP
235,Neutrino USD,USDN
236,Bloomzed Loyalty Club Ticket,BLCT
237,MimbleWimbleCoin,MWC
238,Hegic,HEGIC
239,Venus BTC,vBTC
240,Mirror Protocol,MIR
241,Chimpion,BNANA
242,Venus BNB,vBNB
243,Wrapped BNB,WBNB
244,The Transfer Token,TTT
245,Idea Chain Coin,ICH
246,GreenPower,GRN
247,AllianceBlock,ALBT
248,Edgeware,EDG
249,TNC Coin,TNC
250,Empty Set Dollar,ESD
251,NuCypher,NU
252,Eauric,EAURIC
253,XeniosCoin,XNC
254,Livepeer,LPT
255,Darma Cash,DMCH
256,Hellenic Coin,HNC
257,SKALE Network,SKL
258,Massnet,MASS
259,Beldex,BDX
260,Trust Wallet Token,TWT
261,Rakon,RKN
262,XinFin Network,XDC
263,API3,API3
264,Mixin,XIN
265,Qcash,QC
266,NEST Protocol,NEST
267,Harvest Finance,FARM
268,ZKSwap,ZKS
269,MATH,MATH
270,Badger DAO,BADGER
271,Polkastarter,POLS
272,Folgory Coin,FLG
273,Sora,XOR
274,BitcoinPoS,BPS
275,Reef,REEF
276,AXEL,AXEL
277,Amp,AMP
278,The Sandbox,SAND
279,BarnBridge,BOND
280,RAMP,RAMP
281,Attila,ATT
282,Cashaa,CAS
283,CoinMetro Token,XCM
284,Rewardiqa,REW
285,Orion Protocol,ORN
286,MINDOL,MIN
287,Homeros,HMR
288,saffron.finance,SFI
289,Beefy.Finance,BIFI
290,Bithao,BHAO
291,Sport and Leisure,SNL
292,Akash Network,AKT
293,EFFORCE,WOZX
294,Waves Enterprise,WEST
295,Tokenlon Network Token,LON
296,Meta,MTA
297,Poseidon Network,QQQ
298,BTU Protocol,BTU
299,CryptalDash,CRD
300,KardiaChain,KAI
301,QuarkChain,QKC
302,Haven Protocol,XHV
303,Celer Network,CELR
304,Handshake ,HNS
305,Centrality,CENNZ
306,ChainX,PCX
307,Rocket Pool,RPL
308,TrustSwap,SWAP
309,cVault.finance,CORE
310,LGCY Network,LGCY
311,Streamr,DATA
312,MCO,MCO
313,Elastos,ELA
314,VeThor Token,VTHO
315,Darwinia Network,RING
316,GateToken,GT
317,Everipedia,IQ
318,TerraKRW,KRT
319,HARD Protocol,HARD
320,TROY,TROY
321,OctoFi,OCTO
322,Sapphire,SAPP
323,Orbit Chain,ORC
324,Counos Coin,CCA
325,Origin Protocol,OGN
326,Hxro,HXRO
327,Vai,VAI
328,Ferrum Network,FRM
329,NFTX,NFTX
330,Telcoin,TEL
331,Bluzelle,BLZ
332,mStable USD,MUSD
333,ReddCoin,RDD
334,BitMax Token,BTMX
335,SOLVE,SOLVE
336,stETH (Lido),STETH
337,Stakenet,XSN
338,SALT,SALT
339,ankrETH,aEth
340,Axie Infinity,AXS
341,Gifto,GTO
342,Linear,LINA
343,ShareToken,SHR
344,TitanSwap,TITAN
345,COTI,COTI
346,MX Token,MX
347,Phala.Network,PHA
348,MXC,MXC
349,Nimiq,NIM
350,Request,REQ
351,Aion,AION
352,Orbs,ORBS
353,CertiK,CTK
354,BASIC,BASIC
355,TrueFi,TRU
356,Bankera,BNK
357,v.systems,VSYS
358,Flamingo,FLM
359,DODO,DODO
360,Celo Dollar,CUSD
361,DigixDAO,DGD
362,HyperCash,HC
363,MANTRA DAO,OM
364,The Midas Touch Gold,TMTG
365,VIDT Datalink,VIDT
366,WINk,WIN
367,Whiteheart,WHITE
368,NULS,NULS
369,Bytecoin,BCN
370,Zenon,ZNN
371,STEM CELL COIN,SCC
372,Bounce Token,BOT
373,USDK,USDK
374,Venus USDT,vUSDT
375,Ignis,IGNIS
376,Thunder Token,TT
377,Super Zero Protocol,SERO
378,Beam,BEAM
379,ASTA,ASTA
380,Nexus,NXS
381,MVL,MVL
382,1irstcoin,FST
383,Cortex,CTXC
384,Ultiledger,ULT
385,Audius,AUDIO
386,Groestlcoin,GRS
387,Oxen,LOKI
388,Aeternity,AE
389,Metal,MTL
390,Switcheo,SWTH
391,DuckDaoDime,DDIM
392,Breezecoin,BRZE
393,USDX [Kava],USDX
394,Etherisc DIP Token,DIP
395,Robonomics.network,XRT
396,BORA,BORA
397,BOSAGORA,BOA
398,PIVX,PIVX
399,YF Link,YFL
400,Marlin,POND
401,Props Token,PROPS
402,Dent,DENT
403,Wirex Token,WXT
404,Pirate Chain,ARRR
405,WazirX,WRX
406,Veritaseum,VERI
407,COVER Protocol,COVER
408,Waltonchain,WTC
409,Unifi Protocol DAO,UNFI
410,ARPA Chain,ARPA
411,Lambda,LAMB
412,Quantum Resistant Ledger,QRL
413,Hermez Network,HEZ
414,Metronome,MET
415,Ergo,ERG
416,GXChain,GXC
417,Crypterium,CRPT
418,SUKU,SUKU
419,Cream Finance,CREAM
420,Bella Protocol,BEL
421,Ripio Credit Network,RCN
422,StormX,STMX
423,yOUcash,YOUC
424,IDEX,IDEX
425,Ducato Protocol Token,DUCATO
426,Cocos-BCX,COCOS
427,Crypto Village Accelerator,CVA
428,Nash Exchange,NEX
429,Standard Tokenization Protocol,STPT
430,Opium,OPIUM
431,Huobi Pool Token,HPT
432,Obyte,GBYTE
433,Grin,GRIN
434,Klever,KLV
435,Dynamic Trading Rights,DTR
436,AirSwap,AST
437,RChain,REV
438,Zap,ZAP
439,PEAKDEFI,PEAK
440,Neutrino Token,NSBT
441,REVV,REVV
442,Quantstamp,QSP
443,Metaverse Dualchain Network Architecture,DNA
444,BoringDAO,BOR
445,Bao Finance,BAO
446,Sentivate,SNTVT
447,Leverj Gluon,L2
448,Dusk Network,DUSK
449,Refereum,RFR
450,Nexalt,XLT
451,Presearch,PRE
452,Cindicator,CND
453,Perlin,PERL
454,Einsteinium,EMC2
455,DAD,DAD
456,QASH,QASH
457,12Ships,TSHP
458,Steem Dollars,SBD
459,Gas,GAS
460,dHedge DAO,DHT
461,Galatasaray Fan Token,GAL
462,Global Digital Content,GDC
463,Invictus Hyperion Fund,IHF
464,RSK Smart Bitcoin,RBTC
465,Constellation,DAG
466,Function X,FX
467,Gleec,GLEEC
468,SparkPoint,SRK
469,dForce,DF
470,Frontier,FRONT
471,Contentos,COS
472,Decentralized Vulnerability Platform,DVP
473,NKN,NKN
474,Growth DeFi,GRO
475,FC Barcelona Fan Token,BAR
476,Nebulas,NAS
477,StableXSwap,STAX
478,NerveNetwork,NVT
479,PowerPool,CVP
480,Infinity Esaham,INFS
481,Aavegotchi,GHST
482,Gemini Dollar,GUSD
483,VerusCoin,VRSC
484,WOM Protocol,WOM
485,Oraichain Token,ORAI
486,Zynecoin,ZYN
487,Dragonchain,DRGN
488,Prometeus,PROM
489,Aurora,AOA
490,DREP,DREP
491,reflect.finance,RFI
492,Navcoin,NAV
493,Newscrypto,NWC
494,Atomic Wallet Coin,AWC
495,Bonfida,FIDA
496,88mph,MPH
497,BigONE Token,ONE
498,FIO Protocol,FIO
499,AIDUS TOKEN,AIDUS
500,Xensor,XSR
501,PAC Global,PAC
502,DigitalBits,XDB
503,Meme,MEME
504,Neblio,NEBL
505,Measurable Data Token,MDT
506,USDJ,USDJ
507,Render Token,RNDR
508,CONTRACOIN,CTCN
509,YFDAI.FINANCE,YF-DAI
510,Chromia,CHR
511,AnimalGo,GOM2
512,Monolith,TKN
513,ERC20,ERC20
514,DMM: Governance,DMG
515,Universa,UTNP
516,Rally,RLY
517,Stafi,FIS
518,BitForex Token,BF
519,PRIZM,PZM
520,BitKan,KAN
521,Wing,WING
522,Endor Protocol,EDR
523,Dock,DOCK
524,Spendcoin,SPND
525,Carry,CRE
526,Lido DAO Token,LDO
527,BHPCoin,BHP
528,Spartan Protocol,SPARTA
529,Molecular Future,MOF
530,Factom,FCT
531,LATOKEN,LA
532,BitcoinHD,BHD
533,Beowulf,BWF
534,KeeperDAO,ROOK
535,Apollo Currency,APL
536,Humanscape,HUM
537,PLATINCOIN,PLC
538,Aergo,AERGO
539,Pickle Finance,PICKLE
540,OST,OST
541,NEXT,NET
542,QuadrantProtocol,EQUAD
543,SIRIN LABS Token,SRN
544,S4FE,S4F
545,Cartesi,CTSI
546,Aleph.im,ALEPH
547,King DAG,KDAG
548,Safex Token,SFT
549,MediBloc,MED
550,TrueChain,TRUE
551,KLAYswap Protocol,KSP
552,Anchor Neural World,ANW
553,DEXTools,DEXT
554,SpaceChain,SPC
555,IQeon,IQN
556,Atari Token,ATRI
557,DMarket,DMT
558,Rari Governance Token,RGT
559,Moeda Loyalty Points,MDA
560,Sentinel Protocol,UPP
561,Seigniorage Shares,SHARE
562,Project Pai,PAI
563,PowerTrade Fuel,PTF
564,Dynamic,DYN
565,Ubiq,UBQ
566,Venus LINK,vLINK
567,Vertcoin,VTC
568,Davinci Coin,DAC
569,Morpheus Labs,MITX
570,Bird.Money,BIRD
571,PlatonCoin,PLTC
572,Telos,TLOS
573,Bitcoin 2,BTC2
574,MiL.k,MLK
575,Phoenix Global,PHB
576,Sentinel,SENT
577,AGA Token,AGA
578,Namecoin,NMC
579,Nxt,NXT
580,Proton,XPR
581,Blocknet,BLOCK
582,Gala,GALA
583,Paris Saint-Germain Fan Token,PSG
584,Juventus Fan Token,JUV
585,MovieBloc,MBL
586,Metadium,META
587,ZBG Token,ZT
588,Emirex Token,EMRX
589,dKargo,DKA
590,DeXe,DEXE
591,Jewel,JWL
592,Selfkey,KEY
593,Tachyon Protocol,IPX
594,Bit-Z Token,BZ
595,Gem Exchange And Trading,GXT
596,Frax Share,FXS
597,VestChain,VEST
598,Genesis Vision,GVT
599,Anchor,ANCT
600,smARTOFGIVING,AOG
601,Arcblock,ABT
602,Veros,VRS
603,VITE,VITE
604,Venus LTC,vLTC
605,Maro,MARO
606,Archer DAO Governance Token,ARCH
607,Mithril,MITH
608,Kadena,KDA
609,Moss Coin,MOC
610,Raiden Network Token,RDN
611,Skycoin,SKY
612,CONUN,CON
613,Shopping,SPI
614,VNDC,VNDC
615,inSure DeFi,SURE
616,DOS Network,DOS
617,BIKI,BIKI
618,LockTrip,LOC
619,Peercoin,PPC
620,ForTube,FOR
621,Dawn Protocol,DAWN
622,Hashgard,GARD
623,Venus SXP,vSXP
624,Swerve,SWRV
625,LCX,LCX
626,Fusion,FSN
627,OAX,OAX
628,pNetwork,PNT
629,Ambrosus,AMB
630,HUNT,HUNT
631,ILCOIN,ILC
632,GoChain,GO
633,SaTT,SATT
634,VIDY,VIDY
635,Metaverse ETP,ETP
